ID_CLIENT,ID_SHOP,SEX,MARITAL_STATUS,AGE,QUANT_DEPENDANTS,EDUCATION,FLAG_RESIDENCIAL_PHONE,AREA_CODE_RESIDENCIAL_PHONE,PAYMENT_DAY,SHOP_RANK,RESIDENCE_TYPE,MONTHS_IN_RESIDENCE,FLAG_MOTHERS_NAME,FLAG_FATHERS_NAME,FLAG_RESIDENCE_TOWN,FLAG_RESIDENCE_STATE,MONTHS_IN_THE_JOB,PROFESSION_CODE,MATE_INCOME,FLAG_RESIDENCIAL_ADDRESS,FLAG_OTHER_CARD,QUANT_BANKING_ACCOUNTS,PERSONAL_REFERENCE_#1,PERSONAL_REFERENCE_#2,FLAG_MOBILE_PHONE,FLAG_CONTACT_PHONE,PERSONAL_NET_INCOME,COD_APPLICATION_BOOTH,QUANT_ADDITIONAL_CARDS_IN_THE_APPLICATION,FLAG_CARD_INSURANCE_OPTION,TARGET_LABEL_BAD
2,15,F,S,18,0,,Y,31,20,0,P,216,Y,Y,Y,Y,12,853,0,Y,N,0,SARA,FELIPE,N,N,300,0,0,N,0
4,12,F,C,47,0,,N,31,25,0,P,180,Y,Y,N,Y,24,35,0,Y,N,0,JACI,VALERIA ALEXANDRA TRAJANO,N,N,304,0,0,N,0
5,16,F,S,28,0,,Y,31,25,0,O,12,Y,Y,Y,Y,12,24,0,Y,N,0,MARCIA CRISTINA ZANELLA,SANDRO L P MARTINS,N,N,250,0,0,N,0
6,24,M,S,26,0,,N,31,28,0,P,180,Y,Y,N,Y,0,999,0,Y,N,0,MARCIO,ANA,N,N,800,0,0,N,0
7,55,F,S,22,0,,Y,31,12,0,A,0,Y,Y,Y,Y,48,999,0,Y,N,0,FABIO (NOIVO),EDU (AVO),N,N,410,0,0,N,0
8,6,F,C,21,0,,Y,23,28,0,A,24,Y,Y,Y,Y,12,40,800,Y,N,0,OLIONA MARIA CAMPOS,ELIZETE CAMPS COELHO,N,N,248,0,0,N,0
9,3,F,S,27,0,,Y,31,20,0,A,0,Y,Y,Y,Y,0,950,0,Y,N,0,SUELI,REGINA,N,N,1000,0,0,N,1
10,23,F,C,57,0,,Y,31,12,0,P,24,Y,Y,N,Y,96,13,0,Y,N,0,MARIA DE LOURDES,ZILDA,N,N,856,0,0,N,0
11,25,F,S,53,0,,Y,31,18,0,P,60,Y,Y,N,Y,24,13,0,Y,N,0,ANA,MARIA MONICA,N,N,738,0,1,N,1
12,12,F,C,32,0,,Y,31,12,0,P,24,Y,Y,N,Y,0,165,0,Y,N,0,ESTELLA OSVALDO CRUZ,ANA MARIA,N,N,700,0,0,N,0
14,24,M,C,36,0,,Y,31,12,0,P,120,Y,Y,Y,Y,36,15,0,Y,N,0,ANGELA,MARGARIDA,N,N,1987,0,1,N,0
15,7,M,S,26,0,,Y,27,1,0,P,240,Y,Y,N,Y,12,26,0,Y,N,0,RODRIGO,ALAN,N,N,1000,0,0,N,0
16,19,F,S,49,0,,N,50,20,0,P,120,Y,Y,N,Y,0,703,0,Y,N,0,JOAO LUIZ CAETANO OLIVEIR,ELISANGELA M LAZARINI,N,N,225,0,0,N,0
18,55,M,O,44,0,,Y,31,8,0,P,72,Y,Y,Y,Y,12,135,0,Y,N,0,MAGALI,ROSA,N,N,370,0,0,N,0
19,55,F,V,46,0,,N,50,12,0,P,360,Y,Y,N,Y,120,704,0,Y,N,0,ILZA(AMIGA),ANDREIA(FILHA),N,N,520,0,0,N,0
20,24,M,S,20,0,,Y,31,28,0,P,24,Y,Y,Y,Y,12,999,0,Y,N,0,SERGIO,CLEMILDA,N,N,500,0,0,N,1
21,9,M,C,26,0,,Y,5,18,0,C,264,Y,Y,N,Y,36,79,0,Y,N,0,DONA MARIA,CARMEM LUCIA   IRMA,N,N,490,0,0,N,1
22,1,M,C,17,0,,N,50,12,0,A,12,Y,Y,N,Y,12,38,0,Y,N,0,LILIANE,MARA,N,N,426,0,0,N,1
23,19,F,C,20,0,,Y,31,28,0,P,120,Y,Y,N,Y,0,999,0,Y,N,0,FABIANE OLIVEIRA L BORGES,CIRENE SOUZA OLIVEIRA,N,N,500,0,0,N,0
24,21,F,S,46,0,,Y,31,8,0,A,48,Y,Y,Y,Y,192,999,0,Y,N,0,MARIA CRISTINA,ROBERTO,N,N,3100,0,0,N,0
25,25,F,C,41,0,,Y,50,8,0,P,12,Y,Y,Y,Y,120,34,0,Y,N,0,MARLUCE,SOLANGE,N,N,1175,0,0,N,0
26,12,M,S,20,0,,Y,50,12,0,P,12,Y,Y,Y,Y,24,39,0,Y,N,0,JOSILEIA SANTOS CASTRO,PRISCILA,N,N,285,0,0,N,1
27,20,F,D,64,0,,Y,50,3,0,A,12,Y,Y,Y,Y,60,72,0,Y,N,0,NAZARE,MIRIAN,N,N,700,0,1,N,1
28,15,F,D,71,0,,Y,31,18,0,A,96,Y,Y,N,Y,12,13,0,Y,N,0,MIRTHES,CARMEN,N,N,180,0,0,N,0
30,1,F,S,46,0,,Y,31,8,0,P,72,Y,Y,N,Y,12,801,0,Y,N,0,NELI,ROSANGELA,N,N,442,0,0,N,0
31,12,M,C,24,0,,N,31,20,0,P,240,Y,Y,Y,Y,12,30,0,Y,N,0,APARECIDA CARVALHO,MARIANA,N,N,313,0,0,N,0
32,12,F,S,23,0,,N,31,18,0,P,276,Y,Y,Y,Y,0,999,0,Y,N,0,IVONETE BARBOZA DA SILVA,ROSILENE,N,N,280,0,0,N,1
33,6,F,C,36,0,,N,50,8,0,P,240,Y,Y,N,Y,12,713,0,Y,N,0,JACY LOPES,HENRY GAZAL,N,N,250,0,0,N,0
34,3,F,S,40,0,,Y,31,28,0,P,24,Y,Y,Y,Y,0,305,0,Y,N,0,LUCIANA,IVONETE,N,N,1000,0,0,N,0
35,55,F,S,23,0,,Y,50,12,0,P,36,Y,Y,Y,Y,24,653,0,Y,N,0,IVONE TIA/ MARIA,INES   COLEGA,N,N,390,0,0,N,0
36,12,F,S,27,0,,Y,31,23,0,P,24,Y,Y,Y,Y,12,72,0,Y,N,0,TEREZINHA DE J ROSARIO,DEMICINA,N,N,350,0,0,N,0
37,25,M,S,18,0,,Y,31,23,0,P,228,Y,Y,N,Y,0,950,0,Y,N,0,D ROSA,,N,N,800,0,0,N,1
38,24,F,O,31,0,,N,50,28,0,P,168,Y,Y,Y,Y,72,801,0,Y,N,0,MARIA DO CARMO,RITA,N,N,451,0,0,N,0
39,12,F,S,24,0,,Y,31,1,0,P,96,Y,Y,N,Y,0,261,0,Y,N,0,JORGE,JOSE DA SILVA MARRECO,N,N,700,0,0,N,1
40,23,F,O,30,0,,Y,31,12,0,O,240,Y,Y,N,Y,60,43,0,Y,N,0,ISABEL,IRACI,N,N,300,0,0,N,1
41,20,F,S,21,0,,Y,31,8,0,C,252,Y,Y,Y,Y,36,40,0,Y,N,0,BRUNO,NEIDE,N,N,295,0,0,N,0
42,55,F,S,39,0,,Y,31,18,0,A,24,Y,Y,Y,Y,0,205,0,Y,N,0,JOSE OLIMPIO - AMIGO,DEISE - AMIGA,N,N,220,0,0,N,0
43,22,M,C,55,0,,Y,31,8,0,P,72,Y,Y,N,Y,12,13,0,Y,N,0,ROSANGELA,JOAQUIM OU RENI,N,N,1174,0,0,N,0
45,11,M,D,26,0,,N,31,12,0,P,120,Y,Y,Y,Y,0,999,0,Y,N,0,IVALDO 021,MARIA ROSA,N,N,2701,0,0,N,0
46,23,F,S,66,0,,Y,31,12,0,P,48,Y,Y,Y,Y,288,918,0,Y,N,0,REGINALDO,CLAUDIA,N,N,365,0,0,N,0
